sid,eid,gmv_PGA,gmv_SA(0.1),gmv_SA(0.3),gmv_SA(0.4)
0,0,0.07511596,0.08467124,0.10183697,0.19405727
1,0,0.1036818,0.356689,0.52612156,0.841033
2,0,0.2702849,0.18438244,0.3253099,0.5090348
3,0,0.26414576,0.41398942,2.4108467,0.8861423
4,0,0.2053087,0.3336051,3.2889328,1.6785407
5,0,0.44762734,0.73494995,1.6638979,1.1465111
6,0,0.0997159,0.08425409,0.6178795,0.42962247
0,1,0.22921574,0.06314576,0.11296585,0.16471203
1,1,0.3737575,0.2735768,0.552025,0.24962324
2,1,0.15884201,0.16461131,0.4470893,0.4901422
3,1,0.60803115,0.7065665,1.1220264,0.5111087
4,1,1.315541,1.9237239,1.7249482,1.0489827
5,1,0.888643,0.48261273,0.39438176,0.44444913
6,1,0.2890218,0.9406564,0.3776482,0.98650146
0,2,0.14654854,0.036032,0.04837624,0.11044379
1,2,0.2563756,0.16214886,0.13041574,0.5126949
2,2,0.19043243,0.093979776,0.22266547,0.5783465
3,2,0.6212414,0.5211261,0.4576238,1.2222469
4,2,0.68103683,0.7187745,0.4298569,1.4128796
5,2,0.5316746,0.16810153,0.85466933,1.8341398
6,2,0.18875915,0.08530178,0.5248212,0.34523207
0,3,0.12707996,0.061363347,0.23471183,0.16626582
1,3,0.3408357,0.40292335,0.4091972,0.15388907
2,3,0.62899375,0.40493298,0.4020253,0.25835335
3,3,1.2658768,1.2915331,1.0474405,0.5215831
4,3,1.3772694,1.9794059,0.82998294,1.2906184
5,3,1.3240423,0.8788309,0.39905828,0.6835755
6,3,0.2672354,0.53186864,0.27581257,0.14602757
0,4,0.043651905,0.053785026,0.20185311,0.17242016
1,4,0.4078027,0.34168068,0.41561764,0.48631603
2,4,0.27202627,0.34376675,0.21483016,0.7839311
3,4,0.8789012,1.3300344,0.7402982,1.5314406
4,4,0.6446513,3.0473502,0.8104692,0.7298031
5,4,0.6982456,1.2634991,1.3513459,0.17438115
6,4,0.15566315,0.8376212,0.30970234,0.4150732
0,5,0.071984194,0.22928923,0.19111758,0.097528204
1,5,0.24752107,0.34032375,0.5214976,0.8084931
2,5,0.10652277,0.46723208,0.603721,0.36469415
3,5,1.0822653,1.0402529,0.76131594,1.2024183
4,5,1.3742241,0.52293915,1.6342251,0.7263169
5,5,0.558556,0.7830536,0.91267765,0.91539705
6,5,0.39402714,0.41707504,0.78509754,0.54139656
0,6,0.039060358,0.16798845,0.37676996,0.27438232
1,6,0.21883808,1.5206882,0.7511132,0.3509093
2,6,0.13184085,1.2551844,0.3005471,0.22056995
