site_id,lon,lat
0,5.96621,46.15234
1,5.96646,46.14335
2,5.97771,46.20647
3,5.97795,46.19748
4,5.97867,46.1705
5,5.97891,46.1615
6,5.97916,46.15251
7,5.9794,46.14352
8,5.99042,46.21564
9,5.99066,46.20664
10,5.9909,46.19765
11,5.99114,46.18865
12,5.99138,46.17966
13,5.99162,46.17067
14,5.99186,46.16167
15,5.9921,46.15268
16,5.99234,46.14368
17,6.00338,46.2158
18,6.00362,46.20681
19,6.00385,46.19781
20,6.00409,46.18882
21,6.00433,46.17982
22,6.00456,46.17083
23,6.0048,46.16184
24,6.00504,46.15284
25,6.00527,46.14385
26,6.0161,46.22496
27,6.01633,46.21597
28,6.01657,46.20697
29,6.01681,46.19798
30,6.01704,46.18898
31,6.01728,46.17999
32,6.01751,46.17099
33,6.01774,46.162
34,6.01821,46.14401
35,6.02883,46.23412
36,6.02906,46.22512
37,6.02929,46.21613
38,6.02952,46.20713
39,6.02976,46.19814
40,6.02999,46.18915
41,6.03022,46.18015
42,6.03046,46.17116
43,6.03069,46.16216
44,6.03092,46.15317
45,6.03139,46.13518
46,6.04179,46.23428
47,6.04202,46.22528
48,6.04225,46.21629
49,6.04248,46.20729
50,6.04271,46.1983
51,6.04294,46.18931
52,6.04317,46.18031
53,6.0434,46.17132
54,6.04363,46.16232
55,6.04386,46.15333
56,6.04409,46.14434
57,6.05452,46.24343
58,6.05475,46.23444
59,6.05498,46.22544
60,6.0552,46.21645
61,6.05543,46.20745
62,6.05566,46.19846
63,6.05589,46.18947
64,6.05612,46.18047
65,6.05635,46.17148
66,6.05658,46.16248
67,6.0568,46.15349
68,6.06748,46.24359
69,6.06771,46.2346
70,6.06794,46.2256
71,6.06816,46.21661
72,6.06839,46.20761
73,6.06862,46.19862
74,6.06884,46.18962
75,6.06907,46.18063
76,6.06929,46.17164
77,6.06952,46.16264
78,6.0748,46.4686
79,6.07503,46.45961
80,6.07571,46.43263
81,6.07593,46.42363
82,6.08044,46.24375
83,6.08067,46.23475
84,6.08089,46.22576
85,6.08112,46.21676
86,6.08134,46.20777
87,6.08157,46.19877
88,6.08179,46.18978
89,6.08202,46.18079
90,6.08224,46.17179
91,6.08246,46.1628
92,6.08269,46.1538
93,6.0876,46.47775
94,6.08782,46.46876
95,6.08849,46.44178
96,6.08872,46.43278
97,6.09341,46.2439
98,6.09363,46.23491
99,6.09385,46.22591
100,6.09408,46.21692
101,6.0943,46.20792
