eid,sid,gmv_MMI
0,0,0.88485
1,0,1.59465
2,0,1.22279
3,0,1.08996
4,0,0.63606
5,0,0.63602
6,0,0.43442
7,0,1.39906
8,0,1.09224
9,0,1.19719
10,0,0.26494
11,0,1.67661
12,0,1.34699
13,0,0.7126
14,0,0.67296
15,0,0.67511
16,0,0.81559
17,0,1.02235
18,0,0.93829
19,0,0.80207
20,0,1.10229
21,0,0.61027
22,0,0.80303
23,0,0.87706
24,0,0.96028
25,0,1.28433
26,0,0.6966
27,0,1.01285
28,0,1.08415
29,0,0.3951
30,0,1.09825
31,0,0.65725
32,0,0.45507
33,0,1.58829
34,0,1.65525
35,0,1.31392
36,0,0.81598
37,0,0.53383
38,0,1.17264
39,0,0.94579
40,0,0.58065
41,0,0.99565
42,0,0.34484
43,0,1.48117
44,0,0.76704
45,0,1.15097
46,0,0.82324
47,0,1.01812
48,0,1.04225
49,0,0.67707
50,0,1.6749
51,0,1.27211
52,0,1.55821
53,0,1.45094
54,0,1.08925
55,0,1.51041
56,0,0.51397
57,0,0.69182
58,0,0.39052
59,0,0.83698
60,0,0.8982
61,0,0.78085
62,0,1.34171
63,0,0.86783
64,0,0.79118
65,0,1.0386
66,0,0.61258
67,0,1.30582
68,0,0.48062
69,0,1.80022
70,0,1.26865
71,0,0.69536
72,0,0.08513
73,0,1.32335
74,0,1.19592
75,0,1.21953
76,0,1.26749
77,0,0.47933
78,0,0.86948
79,0,0.56948
80,0,1.39397
81,0,1.1131
82,0,0.84252
83,0,0.45079
84,0,0.8225
85,0,0.83683
86,0,1.22018
87,0,1.1267
88,0,1.43626
89,0,0.97491
90,0,0.57627
91,0,1.20264
92,0,1.25518
93,0,1.05551
94,0,1.26713
95,0,0.9944
96,0,1.02052
97,0,0.93425
98,0,0.29698
99,0,0.55438
0,1,0.33033
1,1,1.1256
2,1,0.82593
3,1,1.00773
4,1,1.47733
5,1,0.75638
6,1,0.91844
7,1,1.24914
8,1,0.73259
9,1,0.48675
10,1,0.80052
11,1,0.6438
12,1,1.53048
13,1,1.31356
14,1,1.12272
15,1,1.408
16,1,1.30773
17,1,0.67938
18,1,1.44649
19,1,1.03556
20,1,1.31266
21,1,1.45345
22,1,0.82962
23,1,0.55855
24,1,0.73156
25,1,0.93385
26,1,1.32682
27,1,1.3901
28,1,0.1145
29,1,1.0097
30,1,0.92493
31,1,0.72457
32,1,0.57676
33,1,0.84917
34,1,1.56868
35,1,0.83485
36,1,1.01696
37,1,1.19192
38,1,0.87444
39,1,1.68676
40,1,1.64074
41,1,0.7592
42,1,0.99752
43,1,0.81212
44,1,0.79533
45,1,0.35632
46,1,1.10015
47,1,1.00242
48,1,0.41295
49,1,0.78873
50,1,1.47885
51,1,0.74522
52,1,0.61891
53,1,0.99048
54,1,1.78753
55,1,0.74811
56,1,1.16049
57,1,1.25615
58,1,0.74299
59,1,1.21867
60,1,0.87842
61,1,1.12167
62,1,1.12284
63,1,1.03233
64,1,0.51797
65,1,1.35112
66,1,0.83241
67,1,0.67931
68,1,0.37297
69,1,1.08274
70,1,1.16592
71,1,0.23322
72,1,1.01091
73,1,0.72984
74,1,1.13404
75,1,0.66266
76,1,1.17946
77,1,0.89638
78,1,1.55004
79,1,0.60705
80,1,0.85256
81,1,0.56503
82,1,1.51745
83,1,1.41824
84,1,0.76611
85,1,1.14847
86,1,1.32574
87,1,1.04997
88,1,1.02678
89,1,0.74787
90,1,0.52412
91,1,1.4557
92,1,1.46222
93,1,1.12243
94,1,0.85056
95,1,0.86052
96,1,1.21623
97,1,1.45549
98,1,1.43602
99,1,1.27784
0,2,1.131
1,2,0.50401
2,2,0.6444
3,2,1.45841
4,2,1.09721
5,2,0.15127
6,2,0.54164
7,2,1.15193
8,2,0.07423
9,2,0.64319
10,2,1.04409
11,2,1.18044
12,2,1.14062
13,2,0.72717
14,2,1.20151
15,2,0.74254
16,2,0.83705
17,2,1.23886
18,2,1.13836
19,2,1.37192
20,2,1.14614
21,2,1.06195
22,2,0.52535
23,2,0.87835
24,2,0.77414
25,2,0.75033
26,2,1.69372
27,2,0.90235
28,2,1.44549
29,2,1.12055
30,2,1.29636
31,2,1.00238
32,2,1.06983
33,2,0.99325
34,2,0.69085
35,2,1.21245
36,2,0.791
37,2,0.29015
38,2,1.13433
39,2,0.66648
40,2,1.56111
41,2,1.60631
42,2,1.49368
43,2,0.88068
44,2,0.22305
45,2,1.52682
46,2,0.93484
47,2,1.66015
48,2,1.64596
49,2,1.37779
50,2,0.80544
51,2,0.89484
52,2,1.37488
53,2,0.82852
54,2,0.65578
55,2,1.05143
56,2,1.54838
57,2,1.18469
58,2,1.06355
59,2,0.53279
60,2,1.10526
61,2,1.83821
62,2,0.61122
63,2,1.01655
64,2,1.4183
65,2,1.23246
66,2,1.1857
67,2,1.19136
68,2,0.87047
69,2,0.80455
70,2,1.3152
71,2,1.31619
72,2,1.40056
73,2,1.48995
74,2,1.01024
75,2,1.00137
76,2,1.3008
77,2,1.13868
78,2,1.19082
79,2,1.29761
80,2,1.44156
81,2,0.84954
82,2,0.88584
83,2,0.52601
84,2,1.0711
85,2,0.35205
86,2,0.96892
87,2,1.03856
88,2,0.79713
89,2,1.08269
90,2,0.32554
91,2,0.35836
92,2,1.33312
93,2,0.87114
94,2,0.58946
95,2,1.02008
96,2,1.26598
97,2,0.7169
98,2,1.11271
99,2,0.50681
0,3,0.41365
1,3,1.02832
2,3,1.03673
3,3,1.12658
4,3,1.21637
5,3,1.71091
6,3,1.01471
7,3,0.8346
8,3,1.29684
9,3,0.78029
10,3,0.94471
11,3,0.49041
12,3,0.29656
13,3,1.64162
14,3,1.35211
15,3,1.18463
16,3,0.91711
17,3,0.66116
18,3,0.63668
19,3,0.75746
20,3,1.04453
21,3,1.20407
22,3,1.14868
23,3,0.79011
24,3,1.60983
25,3,1.22928
26,3,1.0492
27,3,1.10217
28,3,0.92695
29,3,0.75461
30,3,0.86707
31,3,1.25178
32,3,0.2129
33,3,0.56985
34,3,0.39343
35,3,0.37278
36,3,1.38165
37,3,1.19258
38,3,0.97668
39,3,0.53416
40,3,0.99243
41,3,0.97604
42,3,0.66103
43,3,0.94003
44,3,0.9074
45,3,1.10606
46,3,1.12433
47,3,0.39081
48,3,0.88492
49,3,1.11553
50,3,1.00283
51,3,1.38329
52,3,1.1472
53,3,0.64631
54,3,0.47024
55,3,1.13138
56,3,0.30349
57,3,1.07801
58,3,1.56042
59,3,1.06852
60,3,0.89773
61,3,1.13221
62,3,0.96226
63,3,1.04125
64,3,1.56419
65,3,0.89578
66,3,1.63528
67,3,1.47256
68,3,0.69157
69,3,0.467
70,3,0.54023
71,3,0.2469
72,3,0.527
73,3,1.1714
74,3,0.47188
75,3,0.8306
76,3,1.36529
77,3,0.28345
78,3,1.32201
79,3,0.79216
80,3,0.57368
81,3,1.18541
82,3,1.11846
83,3,1.41848
84,3,1.22616
85,3,1.30748
86,3,0.79235
87,3,0.66694
88,3,1.24351
89,3,1.31186
90,3,1.84446
91,3,0.92051
92,3,0.88246
93,3,1.27365
94,3,0.8523
95,3,1.53332
96,3,1.38636
97,3,0.93558
98,3,1.2438
99,3,1.24799
0,4,0.54498
1,4,1.46664
2,4,1.00474
3,4,1.33849
4,4,0.83168
5,4,1.45232
6,4,0.8987
7,4,0.17344
8,4,1.47262
9,4,0.52017
10,4,0.83094
11,4,1.59236
12,4,1.59428
13,4,1.06665
14,4,1.12122
15,4,0.95335
16,4,0.80415
17,4,0.8403
18,4,1.16088
19,4,1.24551
20,4,1.29229
21,4,1.28983
22,4,0.51999
23,4,0.99496
24,4,0.43278
25,4,1.04481
26,4,0.94705
27,4,1.43719
28,4,0.86217
29,4,0.57168
30,4,0.61589
31,4,1.25602
32,4,1.10829
33,4,0.54093
34,4,0.50393
35,4,1.18979
36,4,0.47601
37,4,1.33209
38,4,1.19528
39,4,0.49742
40,4,0.50563
41,4,1.79761
42,4,0.8846
43,4,0.88114
44,4,1.31977
45,4,1.58275
46,4,1.79103
47,4,1.24666
48,4,0.88649
49,4,0.50251
50,4,1.27453
51,4,1.05289
52,4,0.9312
53,4,1.47471
54,4,0.56073
55,4,0.99334
56,4,0.1798
57,4,0.97169
58,4,0.42883
59,4,0.57487
60,4,0.57252
61,4,1.13795
