OriginID,calc_type,model,amplification,exposure,weight,file
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,PGV,RB,0.025,calc_25489.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,PGV,RF,0.075,calc_25492.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,SA03,RB,0.025,calc_25490.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,SA03,RF,0.075,calc_25493.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,SA1,RB,0.025,calc_25491.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,MIM,SA1,RF,0.075,calc_25494.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,SAM,N/A,RB,0.175,calc_25663.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,damage,SAM,N/A,RF,0.525,calc_25664.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,PGV,RB,0.025,calc_25257.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,PGV,RF,0.075,calc_25260.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,SA03,RB,0.025,calc_25258.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,SA03,RF,0.075,calc_25261.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,SA1,RB,0.025,calc_25259.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,MIM,SA1,RF,0.075,calc_25262.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,SAM,N/A,RB,0.175,calc_25431.hdf5
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,risk,SAM,N/A,RF,0.525,calc_25432.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,PGV,RB,0.025,calc_25762.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,PGV,RF,0.075,calc_25765.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,SA03,RB,0.025,calc_25763.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,SA03,RF,0.075,calc_25766.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,SA1,RB,0.025,calc_25764.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,MIM,SA1,RF,0.075,calc_25767.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,SAM,N/A,RB,0.175,calc_25810.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,damage,SAM,N/A,RF,0.525,calc_25811.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,risk,MIM,PGV,RB,0.025,calc_25686.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,risk,MIM,PGV,RF,0.075,calc_25689.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,risk,MIM,SA03,RB,0.025,calc_25687.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,risk,MIM,SA03,RF,0.075,calc_25690.hdf5
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,risk,MIM,SA1,RB,0.025,calc_25688.hdf5
