lat,lon,psa03_%g,lnpsa03_uncertainty
47.4833,7.1167,3.03,0.6082
47.4833,7.125,3.0739999999999994,0.6082
47.4833,7.1333,3.122,0.6082
47.4833,7.1417,3.168,0.6094
47.4833,7.15,5.2989999999999995,0.6111
47.4833,7.1583,5.242999999999999,0.6127
47.4833,7.1667,4.5040000000000004,0.6143
47.4833,7.175,7.228999999999999,0.6159
47.4833,7.1833,7.18,0.6176
47.4833,7.1917,5.462,0.6192
47.4833,7.2,4.181,0.6208
47.4833,7.2083,4.9239999999999995,0.6224
47.4833,7.2167,8.661999999999999,0.6241
47.4833,7.225,4.595,0.6257
47.4833,7.2333,4.553,0.6273
47.4833,7.2417,4.733,0.6289
47.4833,7.25,3.963,0.6305
47.4833,7.2583,4.957999999999999,0.6322
47.4833,7.2667,3.48,0.6338
47.4833,7.275,3.7739999999999996,0.6354
47.4833,7.2833,3.536,0.637
47.8,5.9,1.077,0.6082
47.8,5.9083,1.0829999999999997,0.6082
47.8,5.9167,1.089,0.6082
47.8,5.925,1.096,0.6082
47.8,5.9333,1.1019999999999999,0.6082
47.8,5.9417,1.1079999999999999,0.6082
47.8,5.95,1.115,0.6082
47.8,5.9583,1.121,0.6082
47.8,5.9667,1.128,0.6082
47.8,5.975,1.1349999999999998,0.6082
47.8,5.9833,1.141,0.6082
47.8,5.9917,1.148,0.6082
47.8,6,1.155,0.6082
47.8,6.0083,1.161,0.6082
47.8,6.0167,1.168,0.6082
47.8,6.025,1.1749999999999998,0.6082
47.8,6.0333,1.182,0.6082
47.8,6.0417,1.1889999999999998,0.6082
47.8,6.05,1.196,0.6082
47.8,6.0583,1.2040000000000002,0.6082
47.8,6.0667,1.7769999999999997,0.6082
47.8,6.075,1.7879999999999998,0.6082
47.8,6.0833,1.527,0.6082
47.8,6.0917,1.536,0.6082
47.8,6.1,1.926,0.6082
47.8,6.1083,1.9380000000000002,0.6082
47.8,6.1167,1.843,0.6082
47.8,6.125,1.8539999999999996,0.6082
47.8,6.1333,1.974,0.6082
47.8,6.1417,1.9859999999999998,0.6082
47.8,6.15,1.604,0.6082
47.8,6.1583,1.614,0.6082
47.8,6.1667,2.605,0.6082
47.8,6.175,2.621,0.6082
47.8,6.1833,2.637,0.6082
47.8,6.1917,2.654,0.6082
47.8,6.2,1.3359999999999999,0.6082
47.8,6.2083,1.3439999999999999,0.6082
47.8,6.2167,1.3529999999999998,0.6082
47.8,6.225,1.3619999999999999,0.6082
47.8,6.2333,1.3699999999999997,0.6082
47.8,6.2417,1.379,0.6082
47.8,6.25,2.775,0.6082
47.8,6.2583,2.792,0.6082
47.8,6.2667,2.8109999999999995,0.6082
47.8,6.275,2.829,0.6082
47.8,6.2833,2.211,0.6082
47.8,6.2917,2.226,0.6082
47.8,6.3,2.178,0.6082
47.8,6.3083,2.193,0.6082
47.8,6.3167,2.2699999999999996,0.6082
47.8,6.325,2.285,0.6082
47.8,6.3333,2.3,0.6082
47.8,6.3417,2.316,0.6082
47.8,6.35,2.331,0.6082
47.8,6.3583,2.3469999999999995,0.6082
47.8,6.3667,2.363,0.6082
47.8,6.375,2.379,0.6082
47.8,6.3833,2.395,0.6082
47.8,6.3917,2.411,0.6082
47.8,6.4,2.428,0.6082
47.8,6.4083,2.444,0.6082
47.8,6.4167,2.461,0.6082
47.8,6.425,2.478,0.6082
47.8,6.4333,2.496,0.6082
47.8,6.4417,2.513,0.6082
47.8,6.45,1.63,0.6082
47.8,6.4583,1.6409999999999998,0.6082
47.8,6.4667,1.653,0.6082
47.8,6.475,1.6649999999999998,0.6082
47.8,6.4833,1.677,0.6082
47.8,6.4917,1.6889999999999998,0.6082
47.8,6.5,1.7009999999999996,0.6082
47.8,6.5083,1.7129999999999999,0.6082
47.8,6.5167,1.726,0.6082
47.8,6.525,1.7380000000000002,0.6082
47.8,6.5333,1.7510000000000001,0.6082
47.8,6.5417,1.7639999999999998,0.6082
47.8,6.55,1.7769999999999997,0.6082
47.8,6.5583,1.7899999999999998,0.6082
47.8,6.5667,1.8030000000000002,0.6082
47.8,6.575,1.817,0.6082
47.8,6.5833,1.8299999999999996,0.6082
47.8,6.5917,1.8440000000000003,0.6082
47.8,6.6,1.858,0.6082
47.8,6.6083,1.8719999999999999,0.6082
47.8,6.6167,1.8869999999999998,0.6082
47.8,6.625,1.9009999999999996,0.6082
47.8,6.6333,1.916,0.6082
47.8,6.6417,1.931,0.6082
47.8,6.65,1.946,0.6082
47.8,6.6583,1.9609999999999999,0.6082
47.8,6.6667,1.9769999999999996,0.6082
47.8,6.675,1.9929999999999999,0.6082
47.8,6.6833,2.008,0.6082
47.8,6.6917,2.025,0.6082
47.8,6.7,2.0409999999999995,0.6082
47.8,6.7083,2.057,0.6082
47.8,6.7167,2.0740000000000003,0.6082
47.8,6.725,2.091,0.6082
47.8,6.7333,2.108,0.6082
47.8,6.7417,2.1260000000000003,0.6082
47.8,6.75,2.144,0.6082
47.8,6.7583,2.162,0.6082
47.8,6.7667,2.1799999999999997,0.6082
47.8,6.775,2.198,0.6082
47.8,6.7833,2.217,0.6082
47.8,6.7917,2.2359999999999998,0.6082
47.8,6.8,2.255,0.6082
47.8,6.8083,2.275,0.6082
47.8,6.8167,2.2949999999999995,0.6082
47.8,6.825,2.315,0.6082
47.8,6.8333,2.335,0.6082
47.8,6.8417,2.3560000000000003,0.6082
47.8,6.85,2.377,0.6082
47.8,6.8583,2.398,0.6082
47.8,6.8667,2.42,0.6082
47.8,6.875,2.4419999999999997,0.6082
47.8,6.8833,2.464,0.6082
47.8,6.8917,2.4869999999999997,0.6082
47.8,6.9,2.51,0.6082
47.8,6.9083,2.533,0.6082
47.8,6.9167,2.557,0.6082
47.8,6.925,2.5809999999999995,0.6082
47.8,6.9333,2.606,0.6082
47.8,6.9417,2.6310000000000002,0.6082
47.8,6.95,2.6559999999999997,0.6082
47.8,6.9583,2.682,0.6082
47.8,6.9667,2.7079999999999997,0.6082
47.8,6.975,2.7349999999999994,0.6082
47.8,6.9833,2.7619999999999996,0.6082
47.8,6.9917,2.7889999999999997,0.6082
47.8,7,2.8169999999999993,0.6082
47.8,7.0083,2.845,0.6082
47.8,7.0167,2.874,0.6082
47.8,7.025,2.9029999999999996,0.6082
47.8,7.0333,2.9330000000000003,0.6082
47.8,7.0417,2.9629999999999996,0.6082
47.8,7.05,2.9939999999999998,0.6082
47.8,7.0583,3.0249999999999995,0.6082
47.8,7.0667,3.0569999999999995,0.6082
47.8,7.075,3.0889999999999995,0.6082
47.8,7.0833,3.122,0.6082
47.8,7.0917,3.1559999999999997,0.6082
47.8,7.1,3.19,0.6082
47.8,7.1083,3.2239999999999998,0.6082
47.8,7.1167,5.06,0.6082
47.8,7.125,5.116,0.6082
47.8,7.1333,5.172,0.6082
47.8,7.1417,5.228999999999999,0.6082
47.8,7.15,5.287,0.6082
47.8,7.1583,5.346,0.6082
47.8,7.1667,5.406000000000001,0.6082
47.8,7.175,5.467,0.6082
47.8,7.1833,5.529,0.6082
47.8,7.1917,5.592,0.6082
47.8,7.2,5.654999999999999,0.6082
47.8,7.2083,5.72,0.6082
47.8,7.2167,5.785999999999999,0.6082
47.8,7.225,5.851999999999999,0.6082
47.8,7.2333,5.92,0.6082
47.8,7.2417,5.9879999999999995,0.6082
47.8,7.25,6.0569999999999995,0.6082
47.8,7.2583,6.126999999999999,0.6082
47.8,7.2667,6.1979999999999995,0.6082
47.8,7.275,6.2700000000000005,0.6082
47.8,7.2833,6.342,0.609
47.8,7.2917,6.415,0.6102
47.8,7.3,6.489,0.6112
47.8,7.3083,6.562999999999999,0.6123
47.8,7.3167,6.638,0.6134
47.8,7.325,6.712999999999999,0.6144
47.8,7.3333,8.578,0.6154
47.8,7.3417,8.674,0.6164
47.8,7.35,6.2620000000000005,0.6174
47.8,7.3583,6.329999999999999,0.6183
47.8,7.3667,8.963,0.6193
47.8,7.375,9.059,0.6202
47.8,7.3833,9.155,0.6211
47.8,7.3917,9.25,0.622
47.8,7.4,7.393999999999999,0.6228
47.8,7.4083,7.468,0.6236
47.8,7.4167,7.5409999999999995,0.6244
47.8,7.425,7.613,0.6252
47.8,7.4333,7.684,0.6259
47.8,7.4417,7.752999999999999,0.6266
47.8,7.45,7.82,0.6273
47.8,7.4583,7.885,0.6279
47.8,7.4667,10.04,0.6285
47.8,7.475,10.12,0.6291
47.8,7.4833,8.068,0.6297
47.8,7.4917,8.123000000000001,0.6302
47.8,7.5,14.07,0.6307
47.8,7.5083,14.16,0.6311
47.8,7.5167,14.23,0.6315
47.8,7.525,14.31,0.6319
47.8,7.5333,14.369999999999997,0.6322
47.8,7.5417,14.43,0.6325
47.8,7.55,14.479999999999999,0.6328
47.8,7.5583,14.53,0.633
47.8,7.5667,8.462,0.6332
47.8,7.575,8.479,0.6333
47.8,7.5833,8.490999999999998,0.6334
47.8,7.5917,8.498,0.6335
47.8,7.6,10.739999999999998,0.6335
