site_id,lon,lat
0,5.95942,46.15655
1,5.95952,46.15665
2,5.95962,46.15675
3,5.95972,46.15685
4,5.95982,46.15695
5,5.95991,46.13857
6,5.96001,46.13867
7,5.96011,46.13877
8,5.96021,46.13887
9,5.96031,46.13897
10,5.98386,46.21086
11,5.98396,46.21096
12,5.98406,46.21106
13,5.98416,46.21116
14,5.98426,46.21126
15,5.98434,46.19287
16,5.98444,46.19297
17,5.98454,46.19307
18,5.98464,46.19317
19,5.98474,46.19327
20,5.98483,46.17488
21,5.98493,46.17498
22,5.98503,46.17508
23,5.98513,46.17518
24,5.98523,46.17528
25,5.98531,46.15689
26,5.98541,46.15699
27,5.98551,46.15709
28,5.98561,46.15719
29,5.98571,46.15729
30,5.98579,46.1389
31,5.98589,46.139
32,5.98599,46.1391
33,5.98609,46.1392
34,5.98619,46.1393
35,6.0093,46.22917
36,6.0094,46.22927
37,6.0095,46.22937
38,6.0096,46.22947
39,6.0097,46.22957
40,6.00977,46.21119
41,6.00987,46.21129
42,6.00997,46.21139
43,6.01007,46.21149
44,6.01017,46.21159
45,6.01025,46.1932
46,6.01035,46.1933
47,6.01045,46.1934
48,6.01055,46.1935
49,6.01065,46.1936
50,6.01072,46.17521
51,6.01082,46.17531
52,6.01092,46.17541
53,6.01102,46.17551
54,6.01112,46.17561
55,6.01119,46.15722
56,6.01129,46.15732
57,6.01139,46.15742
58,6.01149,46.15752
59,6.01159,46.15762
60,6.01166,46.13923
61,6.01176,46.13933
62,6.01186,46.13943
63,6.01196,46.13953
64,6.01206,46.13963
65,6.03522,46.2295
66,6.03532,46.2296
67,6.03542,46.2297
68,6.03552,46.2298
69,6.03562,46.2299
70,6.03569,46.21151
71,6.03579,46.21161
72,6.03589,46.21171
73,6.03599,46.21181
74,6.03609,46.21191
75,6.03615,46.19352
76,6.03625,46.19362
77,6.03635,46.19372
78,6.03645,46.19382
79,6.03655,46.19392
80,6.03661,46.17553
81,6.03671,46.17563
82,6.03681,46.17573
83,6.03691,46.17583
84,6.03701,46.17593
85,6.03708,46.15755
86,6.03718,46.15765
87,6.03728,46.15775
88,6.03738,46.15785
89,6.03748,46.15795
90,6.03754,46.13956
91,6.03764,46.13966
92,6.03774,46.13976
93,6.03784,46.13986
94,6.03794,46.13996
95,6.06069,46.24781
96,6.06079,46.24791
97,6.06089,46.24801
98,6.06099,46.24811
99,6.06109,46.24821
100,6.06114,46.22982
101,6.06124,46.22992
102,6.06134,46.23002
103,6.06144,46.23012
104,6.06154,46.23022
105,6.0616,46.21183
106,6.0617,46.21193
107,6.0618,46.21203
108,6.0619,46.21213
109,6.062,46.21223
110,6.06205,46.19384
111,6.06215,46.19394
112,6.06225,46.19404
113,6.06235,46.19414
114,6.06245,46.19424
115,6.06251,46.17585
116,6.06261,46.17595
117,6.06271,46.17605
118,6.06281,46.17615
119,6.06291,46.17625
120,6.06296,46.15787
121,6.06306,46.15797
122,6.06316,46.15807
123,6.06326,46.15817
124,6.06336,46.15827
125,6.08077,46.48197
126,6.08122,46.46398
127,6.08132,46.46408
128,6.08142,46.46418
129,6.08152,46.46428
130,6.08162,46.46438
131,6.08167,46.446
132,6.08177,46.4461
133,6.08187,46.4462
134,6.08213,46.42801
135,6.08223,46.42811
136,6.08233,46.42821
137,6.08243,46.42831
138,6.08253,46.42841
139,6.08258,46.41002
140,6.08268,46.41012
141,6.08661,46.24812
142,6.08671,46.24822
143,6.08681,46.24832
144,6.08691,46.24842
145,6.08701,46.24852
146,6.08706,46.23013
147,6.08716,46.23023
148,6.08726,46.23033
149,6.08736,46.23043
150,6.08746,46.23053
151,6.08751,46.21214
152,6.08761,46.21224
153,6.08771,46.21234
154,6.08781,46.21244
155,6.08791,46.21254
156,6.08796,46.19416
157,6.08806,46.19426
158,6.08816,46.19436
159,6.08826,46.19446
160,6.08836,46.19456
161,6.0884,46.17617
162,6.0885,46.17627
163,6.0886,46.17637
164,6.0887,46.17647
165,6.0888,46.17657
166,6.08885,46.15818
167,6.08895,46.15828
168,6.08905,46.15838
169,6.08915,46.15848
170,6.08925,46.15858
171,6.08929,46.14019
172,6.08939,46.14029
173,6.08949,46.14039
174,6.08959,46.14049
175,6.08969,46.14059
176,6.10637,46.50027
